           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
   12684.458328 [0002]  <idle>                              0.271      0.000      0.060 
   12684.458335 [0001]  gfx[850]                           14.688      0.006      0.021 
   12684.458354 [0000]  <idle>                              0.013      0.000      0.360 
   12684.458364 [0002]  budgie-wm[1560]                     0.060      0.009      0.036 
   12684.458411 [0003]  <idle>                              0.017      0.000      1.871 
   12684.458438 [0000]  Xorg[1087]                          0.360      0.005      0.083 
   12684.458439 [0002]  <idle>                              0.036      0.000      0.075 
   12684.458459 [0003]  kworker/u32:13-[17311]              1.871      0.009      0.048 
   12684.458482 [0000]  <idle>                              0.083      0.000      0.044 
   12684.458498 [0006]  <idle>                              0.074      0.000      0.173 
   12684.458498 [0000]  Xorg[1087]                          0.044      0.005      0.015 
   12684.458507 [0002]  budgie-wm[1560]                     0.075      0.008      0.068 
   12684.458935 [0001]  <idle>                              0.021      0.000      0.600 
   12684.458937 [0003]  <idle>                              0.048      0.000      0.477 
   12684.458941 [0001]  gfx[850]                            0.600      0.004      0.005 
   12684.458985 [0003]  kworker/u32:13-[17311]              0.477      0.007      0.047 
   12684.459888 [0000]  <idle>                              0.015      0.000      1.390 
   12684.459905 [0006]  tilix[2046]                         1.799      0.005      1.406 
   12684.459988 [0004]  <idle>                              0.003      0.000      2.880 
   12684.459993 [0000]  Xorg[1087]                          1.390      0.006      0.104 
   12684.460023 [0001]  <idle>                              0.005      0.000      1.082 
   12684.460027 [0000]  <idle>                              0.104      0.000      0.034 
   12684.460027 [0004]  Xorg:cs0[1091/1087]                16.664      0.008      0.039 
   12684.460043 [0001]  gfx[850]                            1.082      0.004      0.020 
   12684.460125 [0004]  <idle>                              0.039      0.000      0.097 
   12684.460133 [0000]  Xorg[1087]                          0.034      0.003      0.105 
   12684.460138 [0001]  <idle>                              0.020      0.000      0.095 
   12684.460140 [0004]  Xorg:cs0[1091/1087]                 0.097      0.003      0.014 
   12684.460141 [0000]  <idle>                              0.105      0.000      0.008 
   12684.460149 [0001]  gfx[850]                            0.095      0.003      0.010 
   12684.460217 [0004]  <idle>                              0.014      0.000      0.076 
