           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
   12684.460563 [0001]  gfx[850]                            0.054      0.002      0.010 
   12684.460582 [0000]  <idle>                              0.027      0.000      0.049 
   12684.460595 [0000]  Xorg[1087]                          0.049      0.004      0.013 
   12684.460604 [0002]  budgie-wm[1560]                     0.093      0.005      0.086 
   12684.460617 [0001]  <idle>                              0.010      0.000      0.053 
   12684.460621 [0001]  gfx[850]                            0.053      0.002      0.004 
   12684.460793 [0007]  <idle>                              0.005      0.000      8.000 
   12684.460800 [0007]  rcu_preempt[15]                     8.000      0.012      0.007 
   12684.460904 [0001]  <idle>                              0.004      0.000      0.282 
   12684.460907 [0001]  gfx[850]                            0.282      0.002      0.003 
   12684.462313 [0001]  <idle>                              0.003      0.000      1.405 
   12684.462419 [0001]  code[17683]                         0.000      0.005      0.106 
   12684.468776 [0000]  <idle>                              0.013      0.000      8.181 
   12684.468780 [0007]  <idle>                              0.007      0.000      7.980 
   12684.468785 [0007]  rcu_preempt[15]                     7.980      0.009      0.004 
   12684.468931 [0000]  code[17566]                         0.000      0.008      0.154 
   12684.472779 [0007]  <idle>                              0.004      0.000      3.994 
   12684.472784 [0007]  rcu_preempt[15]                     3.994      0.007      0.004 
   12684.473180 [0000]  <idle>                              0.154      0.000      4.249 
   12684.473181 [0003]  <idle>                              0.047      0.000     14.196 
   12684.473198 [0003]  kworker/u32:13-[17311]             14.196      0.008      0.017 
   12684.473220 [0002]  <idle>                              0.086      0.000     12.615 
   12684.473237 [0000]  Xorg[1087]                         12.585      0.005      0.057 
   12684.473301 [0000]  <idle>                              0.057      0.000      0.063 
   12684.473314 [0002]  budgie-wm[1560]                    12.615      0.007      0.094 
   12684.473328 [0006]  <idle>                              1.406      0.000     13.422 
   12684.473331 [0000]  Xorg[1087]                          0.063      0.008      0.029 
   12684.473380 [0006]  tilix[2046]                        13.422      0.006      0.052 
   12684.474366 [0002]  <idle>                              0.094      0.000      1.051 
   12684.474391 [0000]  <idle>                              0.029      0.000      1.059 
   12684.474393 [0002]  budgie-wm[1560]                     1.051      0.005      0.027 
   12684.474405 [0000]  Xorg[1087]                          1.059      0.005      0.013 
   12684.474406 [0002]  <idle>                              0.027      0.000      0.012 
   12684.474642 [0000]  <idle>                              0.013      0.000      0.237 
   12684.474647 [0002]  budgie-wm[1560]                     0.012      0.006      0.241 
   12684.474654 [0000]  Xorg[1087]                          0.237      0.005      0.012 
   12684.474658 [0002]  <idle>                              0.241      0.000      0.011 
   12684.474914 [0006]  <idle>                              0.052      0.000      1.534 
   12684.474929 [0002]  budgie-wm[1560]                     0.011      0.009      0.270 
   12684.474980 [0001]  <idle>                              0.106      0.000     12.560 
   12684.474991 [0006]  budgie-wm:cs0[1567/1560]           16.590      0.008      0.076 
   12684.474995 [0002]  <idle>                              0.270      0.000      0.066 
   12684.475003 [0001]  gfx[850]                           14.072      0.006      0.022 
   12684.475022 [0000]  <idle>                              0.012      0.000      0.367 
   12684.475032 [0002]  budgie-wm[1560]                     0.066      0.011      0.036 
   12684.475072 [0003]  <idle>                              0.017      0.000      1.874 
   12684.475101 [0000]  Xorg[1087]                          0.367      0.005      0.079 
   12684.475102 [0002]  <idle>                              0.036      0.000      0.069 
   12684.475120 [0003]  kworker/u32:13-[17311]              1.874      0.007      0.047 
   12684.475144 [0000]  <idle>                              0.079      0.000      0.042 
   12684.475158 [0006]  <idle>                              0.076      0.000      0.167 
   12684.475159 [0000]  Xorg[1087]                          0.042      0.005      0.014 
   12684.475169 [0002]  budgie-wm[1560]                     0.069      0.008      0.067 
   12684.475593 [0001]  <idle>                              0.022      0.000      0.590 
   12684.475594 [0003]  <idle>                              0.047      0.000      0.473 
   12684.475598 [0001]  gfx[850]                            0.590      0.004      0.005 
   12684.475641 [0003]  kworker/u32:13-[17311]              0.473      0.006      0.047 
   12684.476534 [0000]  <idle>                              0.014      0.000      1.375 
   12684.476549 [0006]  tilix[2046]                         1.777      0.005      1.390 
   12684.476645 [0004]  <idle>                              0.032      0.000     16.139 
   12684.476650 [0000]  Xorg[1087]                          1.375      0.006      0.116 
   12684.476676 [0001]  <idle>                              0.005      0.000      1.078 
   12684.476681 [0000]  <idle>                              0.116      0.000      0.030 
   12684.476682 [0004]  Xorg:cs0[1091/1087]                16.139      0.009      0.037 
   12684.476695 [0001]  gfx[850]                            1.078      0.003      0.018 
   12684.476799 [0004]  <idle>                              0.037      0.000      0.116 
   12684.476804 [0000]  Xorg[1087]                          0.030      0.003      0.123 
   12684.476818 [0001]  <idle>                              0.018      0.000      0.122 
   12684.476819 [0004]  Xorg:cs0[1091/1087]                 0.116      0.004      0.020 
   12684.476820 [0000]  <idle>                              0.123      0.000      0.015 
   12684.476830 [0001]  gfx[850]                            0.122      0.004      0.012 
   12684.476897 [0004]  <idle>                              0.020      0.000      0.078 
   12684.476902 [0000]  Xorg[1087]                          0.015      0.003      0.081 
   12684.476911 [0004]  Xorg:cs0[1091/1087]                 0.078      0.004      0.014 
   12684.476912 [0000]  <idle>                              0.081      0.000      0.010 
   12684.476980 [0004]  <idle>                              0.014      0.000      0.069 
   12684.476985 [0000]  Xorg[1087]                          0.010      0.003      0.072 
   12684.476994 [0004]  Xorg:cs0[1091/1087]                 0.069      0.003      0.013 
   12684.476995 [0000]  <idle>                              0.072      0.000      0.009 
   12684.477050 [0002]  <idle>                              0.067      0.000      1.881 
   12684.477074 [0001]  <idle>                              0.012      0.000      0.243 
   12684.477089 [0001]  gfx[850]                            0.243      0.006      0.015 
   12684.477100 [0002]  budgie-wm[1560]                     1.881      0.007      0.050 
   12684.477134 [0001]  <idle>                              0.015      0.000      0.044 
   12684.477145 [0004]  <idle>                              0.013      0.000      0.150 
   12684.477146 [0001]  gfx[850]                            0.044      0.005      0.011 
   12684.477153 [0000]  Xorg[1087]                          0.009      0.003      0.158 
   12684.477173 [0004]  Xorg:cs0[1091/1087]                 0.150      0.004      0.028 
   12684.477174 [0000]  <idle>                              0.158      0.000      0.020 
   12684.477186 [0002]  <idle>                              0.050      0.000      0.086 
   12684.477198 [0001]  <idle>                              0.011      0.000      0.052 
   12684.477203 [0000]  Xorg[1087]                          0.020      0.003      0.028 
   12684.477211 [0001]  gfx[850]                            0.052      0.004      0.012 
   12684.477251 [0000]  <idle>                              0.028      0.000      0.047 
   12684.477264 [0001]  <idle>                              0.012      0.000      0.053 
   12684.477264 [0000]  Xorg[1087]                          0.047      0.003      0.013 
   12684.477268 [0001]  gfx[850]                            0.053      0.003      0.004 
   12684.477273 [0002]  budgie-wm[1560]                     0.086      0.006      0.086 
   12684.477547 [0001]  <idle>                              0.004      0.000      0.278 
   12684.477550 [0001]  gfx[850]                            0.278      0.002      0.003 
